station_id,station_name,city,address,area,landmark,latitude,longitude,access_type,availability,is_connected,operational_time,charger_type,highest_power_kw,avg_rating,review_count,ac_charger_count,dc_charger_count,total_charger_count,total_connector_count,available_connector_count,min_ac_price,max_ac_price,min_dc_price,max_dc_price,has_amenities,amenity_types,station_image_url,station_banner,navigation_link,scraped_at
10000,M/s. ARFATH FILLING STATION,Ranga Reddy district,"RANGA REDDY, Ranga Reddy district, Telangana, 509228, India",RANGA REDDY,,17.101879,78.281783,public,Unavailable,False,24 hours,DC,120.0,0.0,0,0,1,1,2,0,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=17.101879,78.281783",2026-05-21T08:07:45.608263+00:00
10001,M/s. K.VENKATA LAKSHMI SRINIVAS,Ranga Reddy district,"RANGA REDDY, Ranga Reddy district, Telangana, 509202, India",RANGA REDDY,,16.996261,78.192163,public,Unavailable,False,24 hours,DC,120.0,0.0,0,0,1,1,2,0,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=16.996261,78.192163",2026-05-21T08:07:45.636324+00:00
10003,M/s. M/S SRIGOPAL SER.STN,Ranga Reddy district,"RANGA REDDY, Ranga Reddy district, Telangana, 501323, India",RANGA REDDY,,17.299248,78.419565,public,Unavailable,False,24 hours,DC,120.0,4.68,398,0,1,1,2,0,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=17.299248,78.419565",2026-05-21T08:07:45.561383+00:00
10004,"M/s. TUBA FILLING STATION,",Ranga Reddy district,"RANGA REDDY, Ranga Reddy district, Telangana, 509325, India",RANGA REDDY,,17.18863,78.309,public,Unavailable,False,24 hours,DC,120.0,0.0,0,0,1,1,2,0,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=17.18863,78.309",2026-05-21T08:07:45.646101+00:00
10006,BP HALOL,Vadodara,"PANCH MAHALS, Vadodara, Gujarat, 389330, India",PANCH MAHALS,,22.584911,73.448426,public,Unavailable,False,24 hours,DC,120.0,0.0,0,0,1,1,2,0,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=22.584911,73.448426",2026-05-21T08:07:45.651104+00:00
10007,Vajra Greens Charging Station,New Delhi,"D Block, Kapas Hera Estate, New Delhi, Delhi 110037, New Delhi, Delhi, 110037, India","D Block, Kapas Hera Estate, New Delhi, Delhi 110037","Gomti Tower, Kapashera, Delhi",28.520689,77.082259,public,Available in,True,24 hours,DC,60.0,4.73,163,0,1,1,2,0,,,15.99,15.99,True,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/branding_logo/statiq/Statiq-banner.png,"https://www.google.com/maps/search/?api=1&query=28.520689,77.082259",2026-05-21T08:07:45.734922+00:00
10008,Statiq Patiala Heritage Havelli Station,Patiala,"Right side of the Parking NH Village Sultanpur, Khewat No. 16/16/28, Bhawanigarh Road, Patiala, Punjab, 147001, India","Right side of the Parking NH Village Sultanpur, Khewat No. 16/16/28, Bhawanigarh Road",,30.28068,76.24146,public,Unavailable,True,24 hours,DC,240.0,4.74,527,0,1,1,2,0,,,21.99,21.99,True,"Restroom,Wifi",https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/branding_logo/statiq/Statiq-banner.png,"https://www.google.com/maps/search/?api=1&query=30.28068,76.24146",2026-05-21T08:07:45.687633+00:00
10009,MAA PETROLEUM GJ,Vadodara,"VADODARA, Vadodara, Gujarat, 389350, India",VADODARA,,22.463474,73.44052,public,Available,True,24 hours,DC,120.0,4.78,36,0,1,1,2,2,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=22.463474,73.44052",2026-05-21T08:07:45.602179+00:00
10010,M/s. MAA PETROLEUM PADRA,Vadodara,"VADODARA, Vadodara, Gujarat, 391440, India",VADODARA,,22.239966,73.071137,public,Available,True,24 hours,DC,120.0,4.64,14,0,1,1,2,2,,,14.0,14.0,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/bpcl+banner.png,"https://www.google.com/maps/search/?api=1&query=22.239966,73.071137",2026-05-21T08:07:45.627359+00:00
10011,EESL Statiq Dwarka Sec 2 Station,New Delhi,"H3X7+PWX, Pocket 1, Sector 2, New Delhi, Delhi, 110075, India","H3X7+PWX, Pocket 1, Sector 2",,28.599502,77.064728,public,Unavailable,False,24 hours,AC,3.3,0.0,0,6,0,6,6,0,1.6,4.2,,,False,,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/charging-stations-images/default-charging-station.jpg,https://d3orevttu06iqr.cloudfront.net/banner/CESL/banner.png,"https://www.google.com/maps/search/?api=1&query=28.599502,77.064728",2026-05-21T08:07:48.533814+00:00
